place_id,name,formatted_address,short_address,street_number,street,district,city,region,postal_code,country,country_code,latitude,longitude,google_maps_url,website,phone,phone_international,rating,user_rating_count,price_level,price_label,business_status,primary_type,primary_type_label,types,opening_hours,open_now,editorial_summary,takeout,delivery,dine_in,reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,serves_vegetarian_food,outdoor_seating,good_for_children,wheelchair_accessible_entrance,utc_offset_minutes,plus_code
ChIJdaFAKt-VkkYRXuL5ELYI2_U,12 Tooli Cafe,"Odra tn 8, 10144 Tallinn, Estonia","Odra tn 8, Tallinn",8,Odra tänav,,Tallinn,Harju maakond,10144,Estonia,EE,59.42788669999999,24.7732371,https://maps.google.com/?cid=17715763137253859934&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,4.7,37,2,$$,OPERATIONAL,dessert_restaurant,Dessert Restaurant,"dessert_restaurant,restaurant,food,point_of_interest,establishment","Monday: 10:00 AM – 6:00 PM
Tuesday: 10:00 AM – 6:00 PM
Wednesday: 10:00 AM – 6:00 PM
Thursday: 10:00 AM – 6:00 PM
Friday: 10:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",1,,,,,,,,,,,,,,,180,9GF6CQHF+57
ChIJXcD9802TkkYRpmWn9kmmJZ8,180 Degrees Restaurant,"Port Noblessner, Staapli tn 4, 10415 Tallinn, Estonia","Port Noblessner, Staapli tn 4, Tallinn",4,Staapli tänav,,Tallinn,Harju maakond,10415,Estonia,EE,59.4520538,24.7289234,https://maps.google.com/?cid=11467754862769825190&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.180degrees.ee/,661 0180,+372 661 0180,4.7,398,4,$$$$,OPERATIONAL,fine_dining_restaurant,Fine Dining Restaurant,"fine_dining_restaurant,restaurant,food,point_of_interest,establishment","Monday: Closed
Tuesday: Closed
Wednesday: 6:00 – 11:00 PM
Thursday: 6:00 – 11:00 PM
Friday: 6:00 – 11:00 PM
Saturday: 6:00 – 11:00 PM
Sunday: Closed",0,,,,,,,,,,,,,,,180,9GF6FP2H+RH
ChIJuajpEVyTkkYRI0gz5Ht5-HM,1falafel,"Kotzebue 18E Sesoonist edasi hoovi :, 10411 Tallinn, Estonia","Kotzebue 18E Sesoonist edasi hoovi :, Tallinn",,,,Tallinn,Harju maakond,10411,Estonia,EE,59.44304029999999,24.7346814,https://maps.google.com/?cid=8356562681602459683&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://1falafel.com/,8282 0009,+372 8282 0009,4.8,125,1,$,CLOSED_TEMPORARILY,falafel_restaurant,Falafel Restaurant,"falafel_restaurant,food_store,store,restaurant,food,point_of_interest,establishment",,,,,,,,,,,,,,,,,180,9GF6CPVM+6V
ChIJF80kR-qTkkYRXwxvhJB2wWY,5Senses Tallinn,"Pikk tn 47, 10133 Tallinn, Estonia","Pikk tn 47, Tallinn",47,Pikk tänav,,Tallinn,Harju maakond,10133,Estonia,EE,59.4399091,24.747084299999997,https://maps.google.com/?cid=7404329625443044447&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,514 6401,+372 514 6401,4.3,589,2,$$,OPERATIONAL,cafe,Cafe,"cafe,bistro,restaurant,food,point_of_interest,establishment","Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 3:00 PM
Wednesday: 9:00 AM – 3:00 PM
Thursday: 9:00 AM – 3:00 PM
Friday: 9:00 AM – 3:00 PM
Saturday: 9:00 AM – 3:00 PM
Sunday: 9:00 AM – 3:00 PM",1,,,,,,,,,,,,,,,180,9GF6CPQW+XR
ChIJ17ZeYVeTkkYRSsnZeo3Qwao,7Ürti Resto,"J. Vilmsi tn 45, 10126 Tallinn, Estonia","J. Vilmsi tn 45, Tallinn",45,J. Vilmsi tänav,,Tallinn,Harju maakond,10126,Estonia,EE,59.4334144,24.7785454,https://maps.google.com/?cid=12304344963022965066&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.7urti.ee/,772 6277,+372 772 6277,4.6,813,2,$$,OPERATIONAL,restaurant,Restaurant,"restaurant,food,point_of_interest,establishment","Monday: Closed
Tuesday: Closed
Wednesday: 10:00 AM – 9:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 12:00 – 10:00 PM
Sunday: 1:00 – 8:00 PM",1,,,,,,,,,,,,,,,180,9GF6CQMH+9C
ChIJlVe3qbWVkkYR2dTQB3u2Biw,A.JU restoran,"Tartu mnt 82, 10112 Tallinn, Estonia","Tartu mnt 82, Tallinn",82,Tartu maantee,,Tallinn,Harju maakond,10112,Estonia,EE,59.425625,24.780571199999997,https://maps.google.com/?cid=3172423627057452249&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://ajuresto.ee/,5322 5165,+372 5322 5165,4.9,54,4,$$$$,OPERATIONAL,restaurant,Restaurant,"restaurant,food,point_of_interest,establishment","Monday: Closed
Tuesday: 12:00 – 11:00 PM
Wednesday: 12:00 – 11:00 PM
Thursday: 12:00 – 11:00 PM
Friday: 5:00 PM – 12:00 AM
Saturday: 5:00 PM – 12:00 AM
Sunday: Closed",1,,,,,,,,,,,,,,,180,9GF6CQGJ+66
ChIJHW4fi0iTkkYRxeFO-rk2KXg,Aamen Restoran,"Vana-Viru tn 15, 10148 Tallinn, Estonia","Vana-Viru tn 15, Tallinn",15,Vana-Viru tänav,,Tallinn,Harju maakond,10148,Estonia,EE,59.4373842,24.7524807,https://maps.google.com/?cid=8658511930992812485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.aamen.ee/,517 3233,+372 517 3233,4.5,117,2,$$,OPERATIONAL,restaurant,Restaurant,"restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,event_venue,point_of_interest,food,establishment","Monday: Closed
Tuesday: 12:00 – 11:00 PM
Wednesday: 12:00 – 11:00 PM
Thursday: 12:00 – 11:00 PM
Friday: 12:00 PM – 3:00 AM
Saturday: 12:00 PM – 3:00 AM
Sunday: 12:00 – 11:00 PM",1,,,,,,,,,,,,,,,180,9GF6CQP2+XX
ChIJp27kJKaVkkYRu-KJf5Fzsa8,Aarde Pagari Leivabaar,"Telliskivi tn 60a-1, 10412 Tallinn, Estonia","Telliskivi tn 60a-1, Tallinn",60a,Telliskivi tänav,,Tallinn,Harju maakond,10412,Estonia,EE,59.439556399999994,24.7285103,https://maps.google.com/?cid=12660027096262369979&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.aardepagar.ee/,528 9933,+372 528 9933,4.8,111,2,$$,OPERATIONAL,restaurant,Restaurant,"restaurant,food,point_of_interest,establishment","Monday: 8:30 AM – 2:00 PM
Tuesday: 8:30 AM – 2:00 PM
Wednesday: 8:30 AM – 2:00 PM
Thursday: 8:30 AM – 2:00 PM, 6:00 – 11:00 PM
Friday: 8:30 AM – 2:00 PM, 6:00 – 11:00 PM
Saturday: 8:30 AM – 2:00 PM, 6:00 – 11:00 PM
Sunday: 8:30 AM – 2:00 PM",1,,,,,,,,,,,,,,,180,9GF6CPQH+RC
ChIJX9KA53yTkkYRQtwxiIZsylg,Aasia toit Tallinn Asian Cafe,"Kopli tn 4, 10412 Tallinn, Estonia","Kopli tn 4, Tallinn",4,Kopli tänav,,Tallinn,Harju maakond,10412,Estonia,EE,59.441242100000004,24.7380785,https://maps.google.com/?cid=6398045545699597378&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://asiancafe.ee/,640 6011,+372 640 6011,4.4,524,2,$$,OPERATIONAL,asian_restaurant,Asian Restaurant,"asian_restaurant,chinese_restaurant,indian_restaurant,restaurant,food,point_of_interest,establishment","Monday: 10:00 AM – 10:00 PM
Tuesday: 10:00 AM – 10:00 PM
Wednesday: 10:00 AM – 10:00 PM
Thursday: 10:00 AM – 10:00 PM
Friday: 10:00 AM – 10:00 PM
Saturday: 10:00 AM – 10:00 PM
Sunday: 10:00 AM – 10:00 PM",1,,,,,,,,,,,,,,,180,9GF6CPRQ+F6
ChIJKfn5XFfrkkYRTcoe9_5efJA,Airo Cafe,"Lennujaama tee 13, Kesk-Sõjamäe tn 26, 11101 Tallinn, Estonia","Lennujaama tee 13, Kesk-Sõjamäe tn 26, Tallinn",26,Kesk-Sõjamäe tänav,,Tallinn,Harju maakond,11101,Estonia,EE,59.41836490000001,24.8075053,https://maps.google.com/?cid=10411300887734438477&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.facebook.com/airocafe,605 8077,+372 605 8077,4.4,182,1,$,OPERATIONAL,restaurant,Restaurant,"restaurant,food,point_of_interest,establishment","Monday: 10:00 AM – 3:00 PM
Tuesday: 10:00 AM – 3:00 PM
Wednesday: 10:00 AM – 3:00 PM
Thursday: 10:00 AM – 3:00 PM
Friday: 10:00 AM – 3:00 PM
Saturday: Closed
Sunday: Closed",1,,,,,,,,,,,,,,,180,9GF6CR95+82
